Judul,isi
Singapura Persingkat Masa Karantina Pelancong,"SINGAPURA, KOMPAS.com – Mulai 6 Oktober pukul 23.59, Singapura mempersingkat masa karantina para pelancong yang memasuki negara tersebut. Para pelancong yang biasanya dikarantina selama 14 hari sejak kedatangan, kini dipangkas menjadi hanya 10 hari. Keputusan tersebut tak terlepas dari masa inkubasi yang lebih singkat dari Covid-19 varian Delta. Selain itu, mulai 6 Oktober pukul 23.59, Singapura juga memangkas riwayat perjalanan wisatawan dari yang sebelumnya 21 hari menjadi 14 hari terakhir. Baca juga: Kasus Covid-19 Singapura Melonjak, Buruh Migran Dilarang Berbaur dengan Publik Contohnya, penumpang dengan riwayat perjalanan ke Indonesia dalam 14 hari terakhir sebelum menuju Singapura akan diizinkan transit melalui Singapura."
Benarkah Donor Darah Bisa Turunkan Tekanan Darah Tinggi?,"Dokter spesialis penyakit jantung dan pembuluh darah, Vito Damay mengatakan tak ada bukti ilmiah tentang donor darah dan kemampuan menurunkan tekanan darah tinggi hingga menyembuhkan kolesterol. ""Misal ada orang bilang, dia punya penyakit jantung akibat tekanan darah tinggi. Dia mau menurunkan dengan cara donor darah, itu tidak benar,"" kata Vito dalam Konferensi Pers Yayasan Jantung Indonesia (YJI) Menyambut Hari Jantung Sedunia 2021 yang digelar secara daring, Senin (27/9)."
Peneliti Temukan Cemaran Paracetamol di Laut DKI Lebih Tinggi dari Negara Lain,"Jakarta - Tim peneliti dari Badan Riset dan Inovasi Nasional (BRIN) dan University of Brighton UK merilis temuan dari hasil studi pendahuluan (preliminary study) terkait dengan kualitas air laut yang terkontaminasi oleh limbah buangan.
Studi ini dimuat dalam jurnal Marine Pollution Bulletin berjudul ""High concentrations of paracetamol in effluent dominated waters of Jakarta Bay, Indonesia"".
Hasil penelitian tersebut menunjukkan bahwa paracetamol terdeteksi di dua situs yaitu Muara Angke (610 ng/L) dan Sungai Ciliwung Ancol (420 ng/L). Konsentrasi paracetamol yang cukup tinggi membuat kekhawatiran terkait risiko lingkungan yang terkait dengan paparan jangka panjang terhadap organisme laut di Teluk Jakarta."
Pemerintah Masih Kaji Vaksin COVID-19 Anak di Bawah 12 Tahun,"Jakarta - Hingga saat ini pemerintah RI masih terus mengkaji soal keamanan vaksin COVID-19 untuk anak di bawah 12 tahun.
Hal ini disampaikan oleh juru bicara pemerintah untuk COVID-19 dan Duta Adaptasi Kebiasaan Baru, Reisa Broto Asmoro yang menyebut pengkajian ini dilakukan bersama badan otoritas yang berwenang.
""Pemerintah Indonesia masih terus mengkaji mengenai keamanan vaksin COVID-19 untuk anak di bawah 12 tahun. Tapi pada dasarnya, kita mesti melindungi anak di bawah 12 tahun dengan dua jurus,"" paparnya dalam keterangan pers virtual dari Media Center Forum Merdeka Barat 9 (FMB 9)-KPCPEN, Jumat (1/20/2021)."
"Kisah Vabyo, Berjuang Sembuh dari Stroke di Usia 35 Tahun","""Jadi kemarin sempat berkonsultasi dengan dokter yang menangani saya, ya jelas nikotin harus distop karena saya juga sebelumnya merokok. Terus kafein juga diatur supaya tidak terlalu berlebihan,"" jelasnya.
Hal yang paling ia jaga setelah sembuh dari stroke adalah pola makan. Salah satunya harus mengatur konsumsi gula. Selain itu, ia juga mulai rutin berolahraga, seperti jalan kaki setiap hari dan berenang setiap minggu.
Vabyo mengaku kesulitan dalam menjaga konsistensi untuk selalu menerapkan gaya hidup sehat. Menurutnya, faktor yang paling berpengaruh dalam menjaga konsistensinya itu adalah lingkungan."
"Pembuluh Darah Otak Pecah Gara-gara BAB Ngeden? Bukan Stroke, Itu Aneurisma","Jakarta - Ngeden terlalu kuat saat buang air besar (BAB) bisa meningkatkan tekanan intra cranial, yang bisa memicu perdarahan di otak. Tapi itu bukan stroke, melainkan aneurisma.
Dokter bedah saraf dari RS Mayapada, dr Roslan Yusni Hasan, SpBS, menjelaskan aneurisma adalah benjolan yang terjadi pada pembuluh darah otak. Dinding yang tipis di bagian tertentu membentuk gelembung yang sewaktu-waktu bisa pecah dan memicu perdarahan di otak.
""Dari 100, ada sekitar 2-3 orang yang di dalam otaknya ada aneurisma, yang tinggal meledak saja sewaktu-waktu. Hanya saja kalau aneurisma pecahnya usia 45 tahun ke atas,"" jelas dr Ryu, sapaannya, dalam program e-Life detikcom, Jumat (1/10/2021)."
"DKI Diyakini Sudah Mencapai Herd Immunity COVID-19, Indonesia Kapan?","Jakarta - Ahli epidemiologi Fakultas Kesehatan Masyarakat Universitas Indonesia, Tri Yunis Miko Wahyono memperkirakan kekebalan kelompok atau herd immunity sudah terbentuk di DKI Jakarta. Sebab, hampir lebih dari separuh masyarakatnya telah memiliki antibodi dari COVID-19.
""Herd immunity itu bisa dicapai dari infeksi alami dan juga bisa dari vaksinasi. Yang sudah terinfeksi di Jakarta pada bulan Maret 2021 itu ada 45 persen dari survei. Kemudian pada bulan Juli, orang yang terinfeksi di DKI lebih dari 60 persen,"" jelas Miko saat dihubungi detikcom, Jumat (1/10/2021)."
"Sederet Manfaat Infused Water bagi Kesehatan, Bisa Dukung Pengobatan Kanker?","Dilansir WebMD, Jumat (1/10/2021), selain buah, infused water juga dapat dibuat dengan campuran rempah-rempah seperti daun mint, sage, atau selasih. Minuman sehat ini nyatanya sudah ada sejak beberapa abad lalu.
Di masa lalu, bunga jadi pilihan bahan infused water. Itu diduga karena berbagai macam buah segar tidak mudah didapatkan seperti saat ini. Sekarang, Anda bisa mengkombinasikan berbagai resep sesuai selera.
Para influencer, blogger, tenaga medis, bahkan beberapa lembaga penelitian kanker mendukung infused water sebagai alternatif yang sehat untuk air biasa. Tercatat bahwa manfaat utama infused water adalah untuk memastikan hidrasi tubuh. Secara umum, berikut manfaat konsumsi minuman tersebut bagi kesehatan."
Studi Temukan Perubahan Gaya Hidup Dapat Kurangi Risiko Alzheimer,"Munculnya jenis penyakit ini muncul sekitar 20 hingga 30 tahun sebelumnya. Diprediksi ada 47 juta orang Amerika saat ini hidup dengan mengidap penyakit tersebut karena tidak ada obat membantu yang dapat menyembuhkan.
Beberapa kemungkinan yang terjadi adanya tanda-tanda halus kehilangan kognitif. Bukti dari perkembangan gaya hidup, seperti diet, olahraga, dan pelatihan otak dapat memperlambat penurunan mental bahkan mengurangi penurunan demensia."
"Tak Benar Pakai Masker, Kesehatan Kulit Bisa Rusak Loh!","Menggunakan masker dengan tidak benar dan renggang tidak hanya meningkatkan risiko paparan Covid-19. Dokter mengatakan tak benar pakai masker juga bisa merusak kesehatan kulit loh!
Menurut dr. Arini Astasari Widodo, Sp.KK, dokter spesialis penyakit kulit dan kelamin dari Universitas Indonesia, masker yang renggang bisa merusak lapisan kulit terluar atau skin barrier.
""Kalau pakai fabric mask jangan yang renggang seperti linen kan renggang karena kalau yang renggang lebih bertekstur, lebih tergesek-gesek kulitnya, barrier-nya akan rusak,"" katanya dilansir ANTARA."
Studi Klinis Selidiki Interval Dosis Vaksin Covid-19 yang Tepat bagi Ibu Hamil,"Studi klinis terbesar di Inggris telah meluncurkan hasil penyelidikannya mengenai dosis pertama dan kedua vaksin Covid-19 untuk ibu hamil.
Studi ini melihat respons imun ibu hamil terhadap vaksin Covid-19 pada interval dosis yang berbeda. Misalnya, pada 4 hingga 6 minggu atau 8 hingga 12 minggu jeda pemberian vaksin Covid-19.
Studi Preg-CoV memantau secara ketat lebih dari 600 ibu hamil yang menerima suntikan vaksin Covid-19 dari Pfizer dan Moderna selama masa kehamilan dan setelah kelahiran."
"Selain Fisik, Bibir Sumbing Juga Bisa Sebabkan Masalah Psikologis","Bayi yang terlahir dengan kondisi bibir sumbing dan celah langit terbuka masih cukup tinggi di Indonesia. Data Kementerian Kesehatan mencatat, Indonesia menempati peringkat keempat di Asia terhadap jumlah kasus kelainan bawaan tersebut. 
""Prevalensinya mencapai 59,3 persen per seribu kelahiran hidup. Di antara angka tersebut kasus cleft lip dan palate (bibir sumbing dan celah langit) menempati dua terbanyak,""
Dokter Dudi mengatakan, kelainan tersebut bukan hanya berpengaruh secara kesehatan tubuh pengidapnya, tapi juga secara psikologis, terutama jika anak terlambat mendapatkan penanganan medis."
Benarkah Tidur Siang Membuat Berat Badan Naik?,"Ahli nutrisi Rujuta Diwekar melalui laman Doctor NDTV mengatakan tidur siang selama 10-30 menit dapat meningkatkan produktivitas dan kesehatan. Idealnya, tidur siang dilakukan setelah makan siang antara pukul 1 hingga 3. Lalu, apakah benar tidur siang dapat menaikkan berat badan?
Tidur siang dapat mencegah berbagai masalah yang mungkin akan timbul di kemudian hari. Faktanya, tidur siang adalah aktivitas penting yang paling sering diabaikan, bahkan di salah pahami. Tidur siang pada kenyataannya tidak membuat Anda kesulitan tidur di malam hari ataupun meningkatkan risiko obesitas."
Ini Bahaya Mengonsumsi Kafein dalam Dosis Tinggi,"Dilansir dari laman medicalnewstoday.com, banyak penelitian menyebutkan bahwa asupan kafein moderat memang meningkatkan berbagai manfaat kesehatan, termasuk risiko kanker tertentu, kondisi otak, dan masalah hati yang lebih rendah.
Kafein bertindak sebagai stimulan dengan mengaktifkan sistem saraf pusat (SSP) yang kemudian melawan kelelahan dan meningkatkan konsentrasi dan fokus. Selain kopi, orang biasanya mengonsumsi kafein melalui teh, minuman ringan—khususnya minuman berenergi—dan coklat. Bahkan kafein juga merupakan bahan dalam beberapa obat resep dan non-resep, seperti pilek, alergi, dan obat nyeri."
